Country,Sub-Region,Code,Year,Population,GDP PER CAPITA (USD),GDP PER CAPITA PPP (USD),Area (Km2),Transportation (Mt),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Manufacturing/Construction (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Energy (Mt),Electricity/Heat (Mt),Bunker Fuels (Mt),Building (Mt)
Sao Tome and Principe,Middle Africa,STP,0.30000000000001137,0.0004062209535619351,0.038049045404944255,0.061555161746078134,0.0002150096019424774,0.00016823687752355314,0.017023346303501947,6.692693809258227e-05,0.0,0.0003273322422258593,0.039858833298733645,0.0,6.76681553660847e-05,9.629272989889262e-05,0.001352265043948614,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.3500000000000085,0.00042600522110662116,0.03889102225716668,0.06442560654779303,0.0002150096019424774,0.00016823687752355314,0.017023346303501947,6.692693809258227e-05,0.0,0.0003273322422258593,0.039858833298733645,0.0,6.76681553660847e-05,9.629272989889262e-05,0.001352265043948614,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.4000000000000057,0.0004459767669120457,0.049145712655894895,0.06881059388093148,0.0002150096019424774,0.0003364737550471062,0.017039559014267187,8.923591745677636e-05,0.0,0.0003273322422258593,0.039858833298733645,0.0,9.022420715477961e-05,9.629272989889262e-05,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.45000000000000284,0.00046578024248347417,0.04782144822045001,0.06937877569911331,0.0002150096019424774,0.0003364737550471062,0.017039559014267187,8.923591745677636e-05,0.0,0.0003273322422258593,0.039858833298733645,0.0,9.022420715477961e-05,0.00012839030653185685,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.5,0.0004850362892927439,0.0491016380553273,0.07396168274383706,0.0002150096019424774,0.0003364737550471062,0.017055771725032427,0.00011154489682097045,0.0,0.0003273322422258593,0.039858833298733645,0.0,0.00011278025894347455,0.00012839030653185685,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.5500000000000114,0.0005037929274067108,0.05743933663166704,0.07771850336159015,0.0002150096019424774,0.0003364737550471062,0.01739623865110247,0.00011154489682097045,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00011278025894347455,0.00012839030653185685,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.6000000000000085,0.0005224247133468519,0.06127078725342288,0.0764475543213485,0.0002150096019424774,0.0003364737550471062,0.01741245136186771,0.00015616285554935863,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00015789236252086432,0.00016048788316482107,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.6500000000000057,0.0005408308049727698,0.07298804514454948,0.0873894694533762,0.0002150096019424774,0.0003364737550471062,0.017428664072632948,0.00015616285554935863,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00015789236252086432,0.00016048788316482107,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.7000000000000028,0.0005587903099769267,0.083292889399096,0.10239178359154241,0.0002150096019424774,0.0003364737550471062,0.01741245136186771,0.00015616285554935863,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00015789236252086432,0.00016048788316482107,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.75,0.0005762071882256102,0.07401695909573103,0.10307262739939586,0.0002150096019424774,0.0003364737550471062,0.017428664072632948,0.00015616285554935863,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00015789236252086432,0.00016048788316482107,0.002028397565922921,0.00029437739181630853
